"index","lon","lat"
32180,-8.25,43.75
32181,-7.75,43.75
32182,-7.25,43.75
32183,-6.75,43.75
32184,-6.25,43.75
32185,-5.75,43.75
32186,-5.25,43.75
32187,-3.75,43.75
32188,-1.75,43.75
32189,-1.25,43.75
32190,-0.75,43.75
32191,-0.25,43.75
32192,0.25,43.75
32193,0.75,43.75
32194,1.25,43.75
32195,1.75,43.75
32196,2.25,43.75
32197,2.75,43.75
32198,3.25,43.75
32199,3.75,43.75
32200,4.25,43.75
32201,-9.25,43.25
32202,-8.75,43.25
32203,-8.25,43.25
32204,-7.75,43.25
32205,-7.25,43.25
32206,-6.75,43.25
32207,-6.25,43.25
32208,-5.75,43.25
32209,-5.25,43.25
32210,-4.75,43.25
32211,-4.25,43.25
32212,-3.75,43.25
32213,-3.25,43.25
32214,-2.75,43.25
32215,-2.25,43.25
32216,-1.75,43.25
32217,-1.25,43.25
32218,-0.75,43.25
32219,-0.25,43.25
32220,0.25,43.25
32221,0.75,43.25
32222,1.25,43.25
32223,1.75,43.25
32224,2.25,43.25
32225,2.75,43.25
32226,3.25,43.25
32227,3.75,43.25
32228,4.25,43.25
32229,-9.25,42.75
32230,-8.75,42.75
32231,-8.25,42.75
32232,-7.75,42.75
32233,-7.25,42.75
32234,-6.75,42.75
32235,-6.25,42.75
32236,-5.75,42.75
32237,-5.25,42.75
32238,-4.75,42.75
32239,-4.25,42.75
32240,-3.75,42.75
32241,-3.25,42.75
32242,-2.75,42.75
32243,-2.25,42.75
32244,-1.75,42.75
32245,-1.25,42.75
32246,-0.75,42.75
32247,-0.25,42.75
32248,0.25,42.75
32249,0.75,42.75
32250,1.25,42.75
32251,1.75,42.75
32252,2.25,42.75
32253,2.75,42.75
32254,3.25,42.75
32255,-9.25,42.25
32256,-8.75,42.25
32257,-8.25,42.25
32258,-7.75,42.25
32259,-7.25,42.25
32260,-6.75,42.25
32261,-6.25,42.25
32262,-5.75,42.25
32263,-5.25,42.25
32264,-4.75,42.25
32265,-4.25,42.25
32266,-3.75,42.25
32267,-3.25,42.25
32268,-2.75,42.25
32269,-2.25,42.25
32270,-1.75,42.25
32271,-1.25,42.25
32272,-0.75,42.25
32273,-0.25,42.25
32274,0.25,42.25
32275,0.75,42.25
32276,1.25,42.25
32277,1.75,42.25
32278,2.25,42.25
32279,2.75,42.25
32280,3.25,42.25
32281,-8.75,41.75
32282,-8.25,41.75
32283,-7.75,41.75
32284,-7.25,41.75
32285,-6.75,41.75
32286,-6.25,41.75
32287,-5.75,41.75
32288,-5.25,41.75
32289,-4.75,41.75
32290,-4.25,41.75
32291,-3.75,41.75
32292,-3.25,41.75
32293,-2.75,41.75
32294,-2.25,41.75
32295,-1.75,41.75
32296,-1.25,41.75
32297,-0.75,41.75
32298,-0.25,41.75
32299,0.25,41.75
32300,0.75,41.75
32301,1.25,41.75
32302,1.75,41.75
32303,2.25,41.75
32304,2.75,41.75
32305,3.25,41.75
32306,-8.75,41.25
32307,-8.25,41.25
32308,-7.75,41.25
32309,-7.25,41.25
32310,-6.75,41.25
32311,-6.25,41.25
32312,-5.75,41.25
32313,-5.25,41.25
32314,-4.75,41.25
32315,-4.25,41.25
32316,-3.75,41.25
32317,-3.25,41.25
32318,-2.75,41.25
32319,-2.25,41.25
32320,-1.75,41.25
32321,-1.25,41.25
32322,-0.75,41.25
32323,-0.25,41.25
32324,0.25,41.25
32325,0.75,41.25
32326,1.25,41.25
32327,1.75,41.25
32328,2.25,41.25
32329,-8.75,40.75
32330,-8.25,40.75
32331,-7.75,40.75
32332,-7.25,40.75
32333,-6.75,40.75
32334,-6.25,40.75
32335,-5.75,40.75
32336,-5.25,40.75
32337,-4.75,40.75
32338,-4.25,40.75
32339,-3.75,40.75
32340,-3.25,40.75
32341,-2.75,40.75
32342,-2.25,40.75
32343,-1.75,40.75
32344,-1.25,40.75
32345,-0.75,40.75
32346,-0.25,40.75
32347,0.25,40.75
32348,0.75,40.75
32349,-8.75,40.25
32350,-8.25,40.25
32351,-7.75,40.25
32352,-7.25,40.25
32353,-6.75,40.25
32354,-6.25,40.25
32355,-5.75,40.25
32356,-5.25,40.25
32357,-4.75,40.25
32358,-4.25,40.25
32359,-3.75,40.25
32360,-3.25,40.25
32361,-2.75,40.25
32362,-2.25,40.25
32363,-1.75,40.25
32364,-1.25,40.25
32365,-0.75,40.25
32366,-0.25,40.25
32367,0.25,40.25
32368,0.75,40.25
32369,3.75,40.25
32370,4.25,40.25
32371,-9.25,39.75
32372,-8.75,39.75
32373,-8.25,39.75
32374,-7.75,39.75
32375,-7.25,39.75
32376,-6.75,39.75
32377,-6.25,39.75
32378,-5.75,39.75
32379,-5.25,39.75
32380,-4.75,39.75
32381,-4.25,39.75
32382,-3.75,39.75
32383,-3.25,39.75
32384,-2.75,39.75
32385,-2.25,39.75
32386,-1.75,39.75
32387,-1.25,39.75
32388,-0.75,39.75
32389,-0.25,39.75
32390,0.25,39.75
32391,0.75,39.75
32392,2.25,39.75
32393,2.75,39.75
32394,3.25,39.75
32395,3.75,39.75
32396,4.25,39.75
32397,-9.75,39.25
32398,-9.25,39.25
32399,-8.75,39.25
32400,-8.25,39.25
32401,-7.75,39.25
32402,-7.25,39.25
32403,-6.75,39.25
32404,-6.25,39.25
32405,-5.75,39.25
32406,-5.25,39.25
32407,-4.75,39.25
32408,-4.25,39.25
32409,-3.75,39.25
32410,-3.25,39.25
32411,-2.75,39.25
32412,-2.25,39.25
32413,-1.75,39.25
32414,-1.25,39.25
32415,-0.75,39.25
32416,-0.25,39.25
32417,1.25,39.25
32418,1.75,39.25
32419,2.25,39.25
32420,2.75,39.25
32421,3.25,39.25
32422,-9.75,38.75
32423,-9.25,38.75
32424,-8.75,38.75
32425,-8.25,38.75
32426,-7.75,38.75
32427,-7.25,38.75
32428,-6.75,38.75
32429,-6.25,38.75
32430,-5.75,38.75
32431,-5.25,38.75
32432,-4.75,38.75
32433,-4.25,38.75
32434,-3.75,38.75
32435,-3.25,38.75
32436,-2.75,38.75
32437,-2.25,38.75
32438,-1.75,38.75
32439,-1.25,38.75
32440,-0.75,38.75
32441,-0.25,38.75
32442,0.25,38.75
32443,1.25,38.75
32444,1.75,38.75
32445,-9.25,38.25
32446,-8.75,38.25
32447,-8.25,38.25
32448,-7.75,38.25
32449,-7.25,38.25
32450,-6.75,38.25
32451,-6.25,38.25
32452,-5.75,38.25
32453,-5.25,38.25
32454,-4.75,38.25
32455,-4.25,38.25
32456,-3.75,38.25
32457,-3.25,38.25
32458,-2.75,38.25
32459,-2.25,38.25
32460,-1.75,38.25
32461,-1.25,38.25
32462,-0.75,38.25
32463,-0.25,38.25
32464,-8.75,37.75
32465,-8.25,37.75
32466,-7.75,37.75
32467,-7.25,37.75
32468,-6.75,37.75
32469,-6.25,37.75
32470,-5.75,37.75
32471,-5.25,37.75
32472,-4.75,37.75
32473,-4.25,37.75
32474,-3.75,37.75
32475,-3.25,37.75
32476,-2.75,37.75
32477,-2.25,37.75
32478,-1.75,37.75
32479,-1.25,37.75
32480,-0.75,37.75
32481,-8.75,37.25
32482,-8.25,37.25
32483,-7.75,37.25
32484,-7.25,37.25
32485,-6.75,37.25
32486,-6.25,37.25
32487,-5.75,37.25
32488,-5.25,37.25
32489,-4.75,37.25
32490,-4.25,37.25
32491,-3.75,37.25
32492,-3.25,37.25
32493,-2.75,37.25
32494,-2.25,37.25
32495,-1.75,37.25
32496,-1.25,37.25
32497,-8.75,36.75
32498,-7.75,36.75
32499,-6.75,36.75
32500,-6.25,36.75
32501,-5.75,36.75
32502,-5.25,36.75
32503,-4.75,36.75
32504,-4.25,36.75
32505,-3.75,36.75
32506,-3.25,36.75
32507,-2.75,36.75
32508,-2.25,36.75
32509,-1.75,36.75
32510,1.25,36.75
32511,1.75,36.75
32512,2.25,36.75
32513,2.75,36.75
32514,3.25,36.75
32515,3.75,36.75
32516,4.25,36.75
32517,-6.25,36.25
32518,-5.75,36.25
32519,-5.25,36.25
32520,-4.75,36.25
32521,0.25,36.25
32522,0.75,36.25
32523,1.25,36.25
32524,1.75,36.25
32525,2.25,36.25
32526,2.75,36.25
32527,3.25,36.25
32528,3.75,36.25
32529,4.25,36.25
